Unidades: MW
Informação acedida em: 19/05/2025 14:38:00
Data e Hora;GRMS - Distribuição;UAG - Unidades Autónomas de Gaseificação;Mercado Elétrico;AP - Clientes Alta Pressão;Consumo
2021-11-23 05:00:00;2868.7;308.6;4691.6;984.8;8853.8
2021-11-23 06:00:00;3245.3;338.7;5022.2;983.1;9589.2
2021-11-23 07:00:00;4126.6;410.5;4791.6;998.2;10326.8
2021-11-23 08:00:00;4406.6;436.8;4781.6;1047.1;10672.1
2021-11-23 09:00:00;4288.1;426.6;4978.6;1038.9;10732.2
2021-11-23 10:00:00;4169.1;417.0;4822.2;1037.4;10445.7
2021-11-23 11:00:00;4133.0;411.7;5120.4;1007.5;10672.6
2021-11-23 12:00:00;4083.0;410.7;5107.9;1044.8;10646.4
2021-11-23 13:00:00;4004.9;402.8;5256.1;1024.3;10688.1
2021-11-23 14:00:00;3867.8;392.0;5286.0;1026.2;10572.0
2021-11-23 15:00:00;3718.4;380.7;5167.5;1034.7;10301.2
2021-11-23 16:00:00;3701.5;379.2;5070.9;1033.5;10185.1
2021-11-23 17:00:00;3833.5;390.0;5139.5;1036.1;10399.1
2021-11-23 18:00:00;4142.7;415.6;5251.7;1046.2;10856.2
2021-11-23 19:00:00;4594.3;454.0;5362.6;1073.7;11484.6
2021-11-23 20:00:00;4590.7;452.3;5517.8;1056.0;11616.8
2021-11-23 21:00:00;4209.2;421.4;5347.6;1052.3;11030.6
2021-11-23 22:00:00;3815.4;388.6;5498.6;1036.9;10739.5
2021-11-23 23:00:00;3432.2;359.5;4437.4;1056.0;9285.0
2021-11-24 00:00:00;2932.6;321.2;4015.9;1078.1;8347.7
2021-11-24 01:00:00;2755.3;308.5;3738.0;1096.3;7898.1
2021-11-24 02:00:00;2699.2;303.0;3742.7;1083.6;7828.4
2021-11-24 03:00:00;2711.9;303.0;3802.9;1070.9;7888.6
2021-11-24 04:00:00;2720.8;303.3;4559.0;1066.5;8649.7
2021-11-24 05:00:00;2840.9;255.2;4954.3;1060.3;9110.6
2021-11-24 06:00:00;3214.7;279.1;5546.1;1052.3;10092.1
2021-11-24 07:00:00;4098.2;336.5;5542.5;1046.2;11023.4
